"","SYMBOL","ENTREZID"
"394","PIK3C2B","5287"
"395","ZGRF1","55345"
"396","CYP4V2","285440"
"397","GDF11","10220"
"398","SHCBP1","79801"
"399","SKA3","221150"
"400","AUNIP","79000"
"401","THNSL2","55258"
"402","PHF21A","51317"
"403","SLC17A5","26503"
"404","AURKB","9212"
"405","LYST","1130"
"406","DIAPH3","81624"
"407","BCAR3","8412"
"408","EGLN3","112399"
"409","RPSAP52","204010"
"410","DGLUCY","80017"
"411","C19orf48","84798"
"412","PPRC1","23082"
"413","RFC2","5982"
"414","KSR2","283455"
"415","ABHD4","63874"
"416","SLFN5","162394"
"417","ZWINT","11130"
"418","CD99L2","83692"
"419","DCN","1634"
"420","TNFRSF10A","8797"
"421","ESCO2","157570"
"422","ACTA2","59"
"423","BRCA1","672"
"424","ERCC6L","54821"
"425","DDR1","780"
"426","SAGE1","55511"
"427","TCF4","6925"
"428","H1-3","3007"
"429","CHSY1","22856"
"430","CTSK","1513"
"431","DECR1","1666"
"432","SLC12A6","9990"
"433","HMGCL","3155"
"434","ANK2","287"
"435","CERT1","10087"
"436","ZNF429","353088"
"437","FBN1","2200"
"438","TMOD2","29767"
"439","TM7SF2","7108"
"440","APH1B","83464"
"441","CLDN1","9076"
"442","FOSL1","8061"
"443","PHYH","5264"
"444","DCLRE1B","64858"
"445","SEL1L3","23231"
"446","MTHFR","4524"
"447","CALCOCO1","57658"
"448","TP53INP2","58476"
"449","ELK3","2004"
"450","DUSP5P1","574029"
"451","CTSO","1519"
"452","ALDH1A3","220"
"453","MYBL2","4605"
"454","BMP5","653"
"455","PHLDA2","7262"
"456","LPXN","9404"
"457","SCN2A","6326"
"458","EFNA5","1946"
"459","ELF1","1997"
"460","SLC29A1","2030"
"461","DDX21","9188"
"462","SYTL5","94122"
"463","KIFC1","3833"
"464","LINC00310","114036"
"465","RNF144A","9781"
"466","CIP2A","57650"
"467","BRCA2","675"
"468","TFB1M","51106"
"469","CDKL5","6792"
"470","MYO19","80179"
"471","WHRN","25861"
"472","H2BC9","8345"
"473","VEPH1","79674"
"474","PRKD1","5587"
"475","RWDD2A","112611"
"476","NOP16","51491"
"477","HERC6","55008"
"478","SPATS2L","26010"
"479","NRP2","8828"
"480","PSORS1C1","170679"
"481","SYT11","23208"
"482","ADAMTS9","56999"
"483","PLAUR","5329"
"484","DSN1","79980"
"485","WDR62","284403"
"486","MFSD2A","84879"
"487","H2AC13","8329"
"488","VDR","7421"
"489","MYC","4609"
"490","MGLL","11343"
"491","PAQR6","79957"
"492","C1orf198","84886"
"493","TCF19","6941"
"494","PHF11","51131"
"495","MALT1","10892"
"496","WDHD1","11169"
"497","NTM","50863"
"498","MCMBP","79892"
"499","DCBLD2","131566"
"500","MUC15","143662"
"501","DYSF","8291"
"502","GLMP","112770"
"503","H3C7","8968"
"504","PRAF2","11230"
"505","TCOF1","6949"
"506","MKI67","4288"
"507","SYNC","81493"
"508","TOMM40","10452"
"509","H3C8","8355"
"510","VRK1","7443"
"511","FANCA","2175"
"512","PTPRZ1","5803"
"513","COL11A2","1302"
"514","SSH1","54434"
"515","NEU1","4758"
"516","DHRS1","115817"
"517","MAGI2","9863"
"518","TFPI2","7980"
"519","PGAM2","5224"
"520","ARRDC4","91947"
"521","LRRC7","57554"
"522","GLT8D2","83468"
"523","RELL1","768211"
"524","POLE","5426"
"525","PITPNC1","26207"
"526","DNAJC28","54943"
"527","IRF9","10379"
"528","LINGO2","158038"
"529","USP1","7398"
"530","MYRF","745"
"531","H4C1","8359"
"532","CDK1","983"
"533","KIAA0825","285600"
"534","MMS22L","253714"
"535","RFC4","5984"
